program_name,institution,specialty,city,state,acgme_program_id,website,eras_participation,nrmp_participation,program_type,program_size,program_director,coordinator,contact_email,img_friendly_score,interview_format,visa_j1,visa_h1b,housing_subsidized,step2_score_avg,ai_summary
"Internal Medicine Residency Program","John H. Stroger, Jr. Hospital of Cook County","Internal Medicine","Chicago","IL","1138140C0","https://www.cookcountyhealth.org",true,true,"residency","135",,,,"9.5","Virtual",true,false,false,"242","Large county IM program with broad case volume; historically very IMG-friendly."
"Internal Medicine Residency Program","Jacobi Medical Center / Albert Einstein College of Medicine","Internal Medicine","Bronx","NY","1475140C0","https://www.jacobiim.org",true,true,"residency","96",,,,"9.2","Virtual",true,true,true,"238","Urban IM residency with strong IMG representation and academic affiliation."
"Family Medicine Residency Program","BronxCare Health System","Family Medicine","Bronx","NY","1480120C0","https://www.bronxcare.org",true,true,"residency","36",,,,"9.4","Hybrid",true,true,true,"232","Community-based family medicine program with very high IMG share."
"Internal Medicine Residency Program","Cleveland Clinic Foundation","Internal Medicine","Cleveland","OH","1547140C0","https://my.clevelandclinic.org",true,true,"residency","120",,,,"7.2","Virtual",true,true,false,"252","Large academic IM program; competitive but visa-supported."
"Internal Medicine Residency Program","Rutgers New Jersey Medical School","Internal Medicine","Newark","NJ","1398140C0","https://njms.rutgers.edu",true,true,"residency","105",,,,"8.0","Virtual",true,false,false,"243","Academic IM residency with moderate IMG representation."
"Family Medicine Residency Program","Texas Tech University Health Sciences Center","Family Medicine","Lubbock","TX","1724120C0","https://www.ttuhsc.edu",true,true,"residency","30",,,,"8.4","Hybrid",true,false,false,"234","Rural-focused FM program with steady IMG intake."
"Pediatric Residency Program","Massachusetts General Hospital (Harvard)","Pediatrics","Boston","MA","1261320C0","https://www.massgeneral.org",true,true,"residency","75",,,,"6.0","Virtual",true,false,true,"254","Academic pediatric residency; competitive with lower IMG share."
"Pediatric Residency Program","Jackson Memorial Hospital / University of Miami","Pediatrics","Miami","FL","1105320C0","https://pediatrics.med.miami.edu",true,true,"residency","90",,,,"8.2","Hybrid",true,false,true,"241","High-volume pediatric program with solid IMG representation."
"Internal Medicine Residency Program","Detroit Medical Center / Wayne State University","Internal Medicine","Detroit","MI","1295140C0","https://www.dmc.org",true,true,"residency","114",,,,"8.9","Virtual",true,true,false,"239","Urban IM residency with high IMG enrollment and broad inpatient exposure."
"General Surgery Residency Program","Houston Methodist Hospital","Surgery","Houston","TX","1713160C0","https://www.houstonmethodist.org",true,true,"residency","45",,,,"6.2","In-Person",true,false,false,"251","Competitive surgical training program with structured residency experience."
"General Surgery Residency Program","Mayo Clinic College of Medicine","Surgery","Rochester","MN","1317160C0","https://www.mayoclinic.org",true,true,"residency","60",,,,"6.5","In-Person",true,true,false,"255","National surgical training program with strong research infrastructure."
"Internal Medicine Residency Program","State University of New York (SUNY) Downstate Health Sciences University","Internal Medicine","Brooklyn","NY","1488140C0","https://www.downstate.edu",true,true,"residency","150",,,,"8.5","Virtual",true,false,false,"241","Large urban IM program with strong diversity and IMG-friendly culture."
"Emergency Medicine Residency Program","Mount Sinai Hospital","Emergency Medicine","New York","NY","1450380C0","https://www.mountsinai.org",true,true,"residency","78",,,,"7.8","Virtual",true,false,false,"248","Urban academic EM program with robust trauma exposure."
"Psychiatry Residency Program","University of Washington","Psychiatry","Seattle","WA","1203400C0","https://www.uwmedicine.org",true,true,"residency","55",,,,"7.4","Virtual",true,false,false,"245","Academic psychiatry program with strong research and outpatient clinics."
"Obstetrics and Gynecology Residency Program","University of Chicago Medical Center","Obstetrics and Gynecology","Chicago","IL","1215140C0","https://www.uchicagomedicine.org",true,true,"residency","48",,,,"7.0","Virtual",true,true,false,"250","Academic OB/GYN residency with strong research opportunities."
"Radiology-Diagnostic Residency Program","University of Michigan Health System","Radiology","Ann Arbor","MI","1255420C0","https://www.uofmhealth.org",true,true,"residency","42",,,,"7.6","Virtual",true,false,false,"253","Academic diagnostic radiology program with strong subspecialty exposure."
"Anesthesiology Residency Program","Vanderbilt University Medical Center","Anesthesiology","Nashville","TN","1042080C0","https://www.vumc.org",true,true,"residency","50",,,,"7.9","Hybrid",true,false,true,"249","Competitive academic anesthesiology residency with strong perioperative curriculum."
"Orthopaedic Surgery Residency Program","Hospital for Special Surgery / Cornell University","Orthopaedic Surgery","New York","NY","1347360C0","https://www.hss.edu",true,true,"residency","35",,,,"6.8","In-Person",true,false,false,"257","Top-ranked orthopedics program with strong research focus."
"Dermatology Residency Program","University of Pittsburgh Medical Center","Dermatology","Pittsburgh","PA","1302220C0","https://www.upmc.com",true,true,"residency","22",,,,"7.1","Virtual",true,false,false,"256","Academic dermatology program with strong clinical and research training."
"Neurology Residency Program","Johns Hopkins Hospital","Neurology","Baltimore","MD","1220140C0","https://www.hopkinsmedicine.org",true,true,"residency","34",,,,"7.5","Virtual",true,false,false,"250","High-volume academic neurology program with diverse subspecialty tracks."
"Pathology-Anatomic and Clinical Residency Program","University of California San Francisco","Pathology","San Francisco","CA","1230220C0","https://www.ucsfhealth.org",true,true,"residency","26",,,,"7.3","Virtual",true,false,false,"252","Academic pathology residency with strong research and molecular focus."
