program_name,institution,specialty,city,state,acgme_program_id,website,eras_participation,nrmp_participation,program_type,program_size,img_friendly_score,interview_format,visa_j1,visa_h1b,housing_subsidized,step2_score_avg,ai_summary
"Internal Medicine Residency Program","John H. Stroger, Jr. Hospital of Cook County","Internal Medicine","Chicago","IL","1138140C0","https://www.cookcountyhealth.org",1,1,"residency",135,9.5,"Virtual",1,0,0,242,"Large county IM program with broad case volume; historically very IMG-friendly."
"Internal Medicine Residency Program","Jacobi Medical Center / Albert Einstein College of Medicine","Internal Medicine","Bronx","NY","1475140C0","https://www.jacobiim.org",1,1,"residency",96,9.2,"Virtual",1,1,1,238,"Urban IM residency with strong IMG representation and academic affiliation."
"Family Medicine Residency Program","BronxCare Health System","Family Medicine","Bronx","NY","1480120C0","https://www.bronxcare.org",1,1,"residency",36,9.4,"Hybrid",1,1,1,232,"Community-based family medicine program with very high IMG share."
"Internal Medicine Residency Program","Cleveland Clinic Foundation","Internal Medicine","Cleveland","OH","1547140C0","https://my.clevelandclinic.org",1,1,"residency",120,7.2,"Virtual",1,1,0,252,"Large academic IM program; competitive but visa-supported."
"Internal Medicine Residency Program","Rutgers New Jersey Medical School","Internal Medicine","Newark","NJ","1398140C0","https://njms.rutgers.edu",1,1,"residency",105,8.0,"Virtual",1,0,0,243,"Academic IM residency with moderate IMG representation."
"Family Medicine Residency Program","Texas Tech University Health Sciences Center","Family Medicine","Lubbock","TX","1724120C0","https://www.ttuhsc.edu",1,1,"residency",30,8.4,"Hybrid",1,0,0,234,"Rural-focused FM program with steady IMG intake."
"Pediatric Residency Program","Massachusetts General Hospital (Harvard)","Pediatrics","Boston","MA","1261320C0","https://www.massgeneral.org",1,1,"residency",75,6.0,"Virtual",1,0,1,254,"Academic pediatric residency; competitive with lower IMG share."
"Pediatric Residency Program","Jackson Memorial Hospital / University of Miami","Pediatrics","Miami","FL","1105320C0","https://pediatrics.med.miami.edu",1,1,"residency",90,8.2,"Hybrid",1,0,1,241,"High-volume pediatric program with solid IMG representation."
"Internal Medicine Residency Program","Detroit Medical Center / Wayne State University","Internal Medicine","Detroit","MI","1295140C0","https://www.dmc.org",1,1,"residency",114,8.9,"Virtual",1,1,0,239,"Urban IM residency with high IMG enrollment and broad inpatient exposure."
"General Surgery Residency Program","Houston Methodist Hospital","Surgery","Houston","TX","1713160C0","https://www.houstonmethodist.org",1,1,"residency",45,6.2,"In-Person",1,0,0,251,"Competitive surgical training program with structured residency experience."
"General Surgery Residency Program","Mayo Clinic College of Medicine","Surgery","Rochester","MN","1317160C0","https://www.mayoclinic.org",1,1,"residency",60,6.5,"In-Person",1,1,0,255,"National surgical training program with strong research infrastructure."
"Internal Medicine Residency Program","State University of New York (SUNY) Downstate Health Sciences University","Internal Medicine","Brooklyn","NY","1488140C0","https://www.downstate.edu",1,1,"residency",150,8.5,"Virtual",1,0,0,241,"Large urban IM program with strong diversity and IMG-friendly culture."
